id,title,director,year,runtime,synopsis
953,Madagascar,Eric Darnell,2005,86,"""Alex the lion is the king of the urban jungle, the main attraction at New York’s Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world."""
564,The Mummy,Stephen Sommers,1999,124,"""Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken."""
1734,The Mummy Returns,Stephen Sommers,2001,130,"""Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army."""
85,Raiders of the Lost Ark,Steven Spielberg,1981,115,"""When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."""
89,Indiana Jones and the Last Crusade,Steven Spielberg,1989,127,"""When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life."""
9502,Kung Fu Panda,Mark Osborne,2008,90,"""When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the \""chosen one\"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try."""
1858,Transformers,Michael Bay,2007,144,"""Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it."""
429617,Spider-Man: Far From Home,,2019,129,"""Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent."""
533642,Child's Play,Lars Klevberg,2019,90,"""Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic."""
711696,Mighty Oak,Sean McNamara,2020,102,"""Janel Parrish plays music manager Gina Jackson whose life is shattered when her brother and lead vocalist, Vaughn (Levi Dylan), is killed in a tragic accident. Ten years later, when a young guitar prodigy Oak Scoggins (Tommy Ragen) enters her orbit, she becomes convinced that this young man is the reincarnation of Vaughn, but is he?"""
502416,Ma,Tate Taylor,2019,99,"""Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own."""
1584,School of Rock,Richard Linklater,2003,110,"""Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing."""
512200,Jumanji: The Next Level,Jake Kasdan,2019,123,"""As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game."""
8373,Transformers: Revenge of the Fallen,,2009,149,"""Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."""
38700,Bad Boys for Life,Adil El Arbi & Bilall Fallah,2020,124,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel."""
621,Grease,Randal Kleiser,1978,110,"""Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?"""
